City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,current description
0,Lata,PT,40.1629,-8.3327,54.07,83,29,10.13,scattered clouds
1,Hermanus,ZA,-34.4187,19.2345,62.8,69,81,14.36,broken clouds
2,Jamestown,US,42.097,-79.2353,34.18,56,75,20.71,broken clouds
3,Severo-Kurilsk,RU,50.6789,156.125,33.22,68,90,18.3,overcast clouds
4,Yarada,IN,17.65,83.2667,75.52,64,81,4.61,haze
5,Honiara,SB,-9.4333,159.95,77.18,86,93,0.16,overcast clouds
6,Pacific Grove,US,36.6177,-121.9166,57.65,86,0,8.99,clear sky
7,Kapaa,US,22.0752,-159.319,75.52,90,75,18.41,light rain
8,Baruun-Urt,MN,46.6806,113.2792,32.88,39,82,19.77,broken clouds
9,Cabo San Lucas,MX,22.8909,-109.9124,77.61,57,20,9.22,few clouds
10,La Ronge,CA,55.1001,-105.2842,21.45,79,100,13.8,light snow
11,Port Alfred,ZA,-33.5906,26.891,66.18,90,83,13.53,broken clouds
12,Manacapuru,BR,-3.2997,-60.6206,86.02,61,100,4.25,overcast clouds
13,Marovoay,MG,-16.1,46.6333,79.0,74,77,7.07,light rain
14,Saskylakh,RU,71.9167,114.0833,-32.6,98,26,6.98,scattered clouds
15,Cape Town,ZA,-33.9258,18.4232,67.08,57,75,11.5,broken clouds
16,Inhambane,MZ,-23.865,35.3833,76.39,73,0,12.26,clear sky
17,Castro,BR,-24.7911,-50.0119,74.75,35,0,6.6,clear sky
18,Albany,US,42.6001,-73.9662,41.34,46,29,3.0,scattered clouds
19,Kahului,US,20.8947,-156.47,78.84,76,0,5.75,clear sky
20,Cidreira,BR,-30.1811,-50.2056,73.13,61,36,14.9,scattered clouds
21,The Valley,AI,18.217,-63.0578,85.86,65,40,13.8,scattered clouds
22,Vaini,TO,-21.2,-175.2,71.76,94,20,2.3,few clouds
23,Rikitea,PF,-23.1203,-134.9692,71.22,69,64,14.12,broken clouds
24,New Norfolk,AU,-42.7826,147.0587,51.3,72,61,1.01,broken clouds
25,Busselton,AU,-33.65,115.3333,54.12,64,98,11.86,overcast clouds
26,Bluff,NZ,-46.6,168.3333,58.8,96,100,14.47,overcast clouds
27,Butaritari,KI,3.0707,172.7902,80.89,76,19,20.33,few clouds
28,Marawi,PH,7.9986,124.2928,70.23,94,100,0.36,overcast clouds
29,Souillac,MU,-20.5167,57.5167,71.98,68,40,2.3,scattered clouds
30,Polovinnoye,RU,54.7914,65.9864,14.04,89,97,8.1,overcast clouds
31,Seoul,KR,37.5683,126.9778,47.64,100,82,2.3,fog
32,Faya,SA,18.3851,42.4509,60.91,80,26,4.5,scattered clouds
33,Pyaozerskiy,RU,65.8333,31.1667,30.81,90,84,2.3,broken clouds
34,Thinadhoo,MV,0.5333,72.9333,81.82,75,83,13.65,broken clouds
35,Punta Arenas,CL,-53.15,-70.9167,62.71,29,75,28.77,broken clouds
36,Yellowknife,CA,62.456,-114.3525,19.92,86,75,5.75,broken clouds
37,Mount Isa,AU,-20.7333,139.5,71.37,64,0,3.44,clear sky
38,Ust-Ishim,RU,57.6935,71.1665,0.5,95,6,7.09,clear sky
39,Plerin,FR,48.5425,-2.7798,46.72,88,0,5.75,clear sky
40,Ushuaia,AR,-54.8,-68.3,60.42,36,40,9.22,scattered clouds
41,Pisco,PE,-13.7,-76.2167,69.85,64,0,9.22,clear sky
42,Mhlume,SZ,-26.0333,31.85,75.85,73,52,5.37,light rain
43,Clyde River,CA,70.4692,-68.5914,-0.17,78,100,9.22,overcast clouds
44,Bambous Virieux,MU,-20.3428,57.7575,71.85,68,40,2.3,scattered clouds
45,Bengkulu,ID,-3.8004,102.2655,75.58,90,100,7.18,light rain
46,Upernavik,GL,72.7868,-56.1549,7.21,88,48,13.4,scattered clouds
47,Vaitape,PF,-16.5167,-151.75,78.6,80,89,10.02,moderate rain
48,Bredasdorp,ZA,-34.5322,20.0403,62.2,65,58,13.0,broken clouds
49,Tasiilaq,GL,65.6145,-37.6368,37.56,83,100,25.97,overcast clouds
50,Stavern,NO,59.0,10.0333,35.33,84,99,19.71,overcast clouds
51,Kaitangata,NZ,-46.2817,169.8464,54.07,96,100,10.78,overcast clouds
52,Daru,PG,-9.0763,143.2092,80.58,83,96,6.06,overcast clouds
53,Luderitz,NA,-26.6481,15.1594,64.89,65,54,25.64,broken clouds
54,Hammerfest,NO,70.6634,23.6821,30.65,74,0,3.44,clear sky
55,Saint-Philippe,RE,-21.3585,55.7679,72.99,68,15,5.88,few clouds
56,Abadiania,BR,-16.2042,-48.7069,83.32,36,44,6.4,scattered clouds
57,Kailua,US,21.4022,-157.7394,75.65,92,97,1.01,light rain
58,Tuktoyaktuk,CA,69.4541,-133.0374,19.4,79,75,0.0,broken clouds
59,Beyneu,KZ,45.3167,55.2,42.44,78,13,9.1,few clouds
60,Kingaroy,AU,-26.5333,151.8333,51.98,89,0,2.04,clear sky
61,East London,ZA,-33.0153,27.9116,67.14,88,20,13.8,few clouds
62,Salalah,OM,17.0151,54.0924,80.69,69,75,5.75,broken clouds
63,Jhang,PK,33.6748,72.6963,56.61,35,68,2.57,broken clouds
64,Grand Gaube,MU,-20.0064,57.6608,72.0,65,70,3.0,broken clouds
65,Merauke,ID,-8.4667,140.3333,80.19,85,98,5.95,overcast clouds
66,Prince Rupert,CA,54.3161,-130.3201,40.69,70,0,13.8,clear sky
67,Malanje,AO,-9.5402,16.341,67.24,85,80,4.38,light rain
68,Nikolskoye,RU,59.7035,30.7861,28.29,62,46,8.75,scattered clouds
69,Lewistown,US,40.5992,-77.5714,38.88,81,100,9.22,overcast clouds
70,Victoria,HK,22.2855,114.1577,77.38,81,16,5.01,few clouds
71,Airai,TL,-8.9266,125.4092,62.35,94,100,0.58,light rain
72,Boende,CD,-0.2167,20.8667,70.63,93,86,0.63,overcast clouds
73,Nidzica,PL,53.3605,20.4275,20.79,81,89,10.8,overcast clouds
74,Marsh Harbour,BS,26.5412,-77.0636,75.0,70,100,15.73,overcast clouds
75,Namatanai,PG,-3.6667,152.4333,78.78,76,100,5.48,overcast clouds
76,Burnie,AU,-41.0667,145.9167,51.94,87,100,9.37,overcast clouds
77,Fortuna,US,40.5982,-124.1573,46.09,96,0,3.44,clear sky
78,Vao,NC,-22.6667,167.4833,71.98,81,100,14.76,overcast clouds
79,Jiangkou,CN,25.4872,119.1986,66.63,87,6,7.43,clear sky
80,Bethel,US,41.3712,-73.414,43.54,46,0,10.36,clear sky
81,At-Bashi,KG,41.1702,75.8106,26.15,61,100,2.1,overcast clouds
82,Norman Wells,CA,65.282,-126.8329,-0.36,85,20,3.44,few clouds
83,Vanimo,PG,-2.6741,141.3028,79.56,83,100,1.99,overcast clouds
84,Lachute,CA,45.6501,-74.3325,29.37,86,100,2.95,light snow
85,Hilo,US,19.7297,-155.09,74.12,86,40,5.75,scattered clouds
86,Carnarvon,AU,-24.8667,113.6333,63.79,55,0,18.68,clear sky
87,Japura,ID,-0.3167,102.35,74.64,95,100,2.53,overcast clouds
88,Chokurdakh,RU,70.6333,147.9167,-3.68,98,100,6.69,overcast clouds
89,Bataipora,BR,-22.2953,-53.2711,94.12,19,0,2.89,clear sky
90,Margate,GB,51.3813,1.3862,50.11,80,53,1.99,broken clouds
91,Asau,RO,46.4333,26.4,38.32,88,99,3.96,overcast clouds
92,Puerto Ayora,EC,-0.7393,-90.3518,76.96,88,44,8.01,scattered clouds
93,Lavrentiya,RU,65.5833,-171.0,24.3,94,43,3.98,scattered clouds
94,Atuona,PF,-9.8,-139.0333,76.84,74,4,9.98,clear sky
95,Qaanaaq,GL,77.484,-69.3632,-7.47,57,92,7.54,overcast clouds
96,Mar Del Plata,AR,-38.0023,-57.5575,66.94,90,40,19.57,scattered clouds
97,Mataura,NZ,-46.1927,168.8643,58.48,89,100,7.58,overcast clouds
98,Torbay,CA,47.6666,-52.7314,42.58,78,75,20.71,broken clouds
99,Hobart,AU,-42.8794,147.3294,51.66,89,100,5.75,overcast clouds
100,Nome,US,64.5011,-165.4064,33.87,93,100,8.05,mist
101,Avarua,CK,-21.2078,-159.775,73.45,83,20,9.22,few clouds
102,Muros,ES,42.7762,-9.0603,54.09,86,75,17.78,broken clouds
103,Oussouye,SN,12.485,-16.5469,89.78,23,100,9.08,overcast clouds
104,Esperance,AU,-33.8667,121.9,55.04,67,100,25.43,overcast clouds
105,Hervey Bay,AU,-25.2986,152.8535,69.96,63,0,8.03,clear sky
106,Plettenberg Bay,ZA,-34.0527,23.3716,61.61,73,94,6.49,overcast clouds
107,Yen Bai,VN,21.7,104.8667,76.23,89,67,2.53,broken clouds
108,Rocha,UY,-34.4833,-54.3333,83.48,42,25,11.52,scattered clouds
109,Provideniya,RU,64.3833,-173.3,30.36,94,93,4.63,light snow
110,Shestakovo,RU,56.4915,103.96,-2.76,100,55,2.46,broken clouds
111,Harrisburg,US,40.2737,-76.8844,43.5,51,40,19.57,scattered clouds
112,Ribeira Grande,PT,38.5167,-28.7,64.8,55,75,9.22,broken clouds
113,Port-Cartier,CA,50.0334,-66.8654,28.62,77,96,6.76,overcast clouds
114,Kushiro,JP,42.975,144.3747,41.07,68,99,5.3,overcast clouds
115,Mapiripan,CO,2.8892,-72.1256,80.56,77,99,1.92,overcast clouds
116,Bose,IT,45.4612,8.0137,54.99,51,17,6.73,few clouds
117,Hambantota,LK,6.1241,81.1185,78.26,79,94,4.76,overcast clouds
118,Nishihara,JP,26.1842,127.7558,74.48,88,20,5.75,few clouds
119,Khatanga,RU,71.9667,102.5,-22.2,89,86,7.47,overcast clouds
120,Trancoso,MX,22.7333,-102.3667,67.75,39,31,10.98,scattered clouds
121,Singaparna,ID,-7.3515,108.111,72.16,95,99,1.74,heavy intensity rain
122,Dikson,RU,73.5069,80.5464,-5.1,93,100,24.96,overcast clouds
123,College,US,64.8569,-147.8028,3.97,80,40,0.0,scattered clouds
124,Hasaki,JP,35.7333,140.8333,45.0,71,72,5.41,broken clouds
125,Carballo,ES,43.213,-8.691,54.86,82,55,8.08,broken clouds
126,Magdagachi,RU,53.45,125.8,13.77,95,100,7.61,overcast clouds
127,Lagoa,PT,39.05,-27.9833,62.24,66,82,10.8,broken clouds
128,Port Blair,IN,11.6667,92.75,80.06,83,88,10.49,overcast clouds
129,Verkhoyansk,RU,67.5447,133.385,-31.92,99,70,3.13,broken clouds
130,Toora-Khem,RU,52.4675,96.11,-1.93,99,93,0.67,overcast clouds
131,Shimoda,JP,34.6667,138.95,53.1,62,12,7.76,few clouds
132,Coihaique,CL,-45.5752,-72.0662,61.41,44,20,11.5,few clouds
133,Taltal,CL,-25.4,-70.4833,64.8,78,49,3.76,scattered clouds
134,Gazanjyk,TM,39.2446,55.5154,58.77,64,0,2.71,clear sky
135,Lompoc,US,34.6391,-120.4579,63.93,90,0,4.61,clear sky
136,Ahipara,NZ,-35.1667,173.1667,60.21,91,25,13.56,scattered clouds
137,Pochutla,MX,15.7432,-96.4661,89.42,61,24,4.88,few clouds
138,Sarishabari,BD,24.7333,89.8333,71.08,75,1,8.3,clear sky
139,Riachao Das Neves,BR,-11.7461,-44.91,87.91,46,18,4.76,few clouds
140,Nagykanizsa,HU,46.4535,16.991,47.01,91,100,1.5,light rain
141,Ancud,CL,-41.8697,-73.8203,56.95,64,22,11.74,few clouds
142,Saint-Francois,FR,46.4154,3.9054,42.67,93,0,4.61,clear sky
143,Moree,AU,-29.4667,149.85,61.7,36,3,6.64,clear sky
144,Fairbanks,US,64.8378,-147.7164,3.97,81,0,0.0,clear sky
145,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,57,0,16.11,clear sky
146,Husavik,IS,66.0449,-17.3389,44.76,82,100,15.5,overcast clouds
147,Ola,RU,59.5833,151.2833,-9.47,87,18,7.45,few clouds
148,Ewa Beach,US,21.3156,-158.0072,75.6,85,0,3.44,clear sky
149,Westport,US,41.1415,-73.3579,45.03,44,0,12.66,clear sky
150,Nantucket,US,41.2835,-70.0995,46.51,67,100,13.8,overcast clouds
151,Hithadhoo,MV,-0.6,73.0833,81.36,79,33,12.35,scattered clouds
152,Kieta,PG,-6.2167,155.6333,78.22,86,100,1.05,overcast clouds
153,Pachino,IT,36.7186,15.0907,68.09,76,0,20.92,clear sky
154,Kodiak,US,57.79,-152.4072,40.51,93,20,14.97,few clouds
155,Cap Malheureux,MU,-19.9842,57.6142,70.47,65,71,3.0,broken clouds
156,Amapa,BR,1.0,-52.0,96.6,31,85,3.38,overcast clouds
157,Caravelas,BR,-17.7125,-39.2481,75.18,87,100,13.89,overcast clouds
158,Gat,IL,31.61,34.7642,67.41,100,0,6.8,clear sky
159,Grahamstown,ZA,-33.3042,26.5328,59.95,81,85,12.86,overcast clouds
160,Miri,MY,4.4148,114.0089,77.14,94,40,3.44,scattered clouds
161,Barrow,US,71.2906,-156.7887,33.82,86,100,24.16,overcast clouds
162,Gopalganj,IN,26.4667,84.4333,65.43,38,0,5.5,clear sky
163,Nioro,GM,13.35,-15.75,93.06,20,94,5.08,overcast clouds
164,Jinchang,CN,38.4953,102.1739,34.79,33,0,4.05,clear sky
165,Sao Filipe,CV,14.8961,-24.4956,82.08,58,100,8.72,overcast clouds
166,Cherskiy,RU,68.75,161.3,-36.54,100,17,4.36,few clouds
167,Klaksvik,FO,62.2266,-6.589,47.32,86,100,33.76,light rain
168,Pihani,IN,27.6333,80.2,66.02,52,0,1.88,clear sky
169,Leshukonskoye,RU,64.8989,45.7622,10.9,99,78,2.57,broken clouds
170,Saint-Pierre,RE,-21.3393,55.4781,73.08,60,0,5.75,clear sky
171,Mayo,US,38.8876,-76.5119,47.21,44,0,8.01,clear sky
172,Aswan,EG,24.0934,32.907,72.7,28,0,6.91,clear sky
173,Kulhudhuffushi,MV,6.6221,73.07,82.0,73,100,6.35,overcast clouds
174,Shelburne,CA,44.0787,-80.2041,32.45,73,66,16.62,broken clouds
175,Hirara,JP,24.8,125.2833,76.98,79,3,4.61,clear sky
176,Stephenville,US,32.2207,-98.2023,50.77,59,100,8.05,overcast clouds
177,Longyearbyen,SJ,78.2186,15.6401,40.84,75,75,11.5,broken clouds
178,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,88,20,16.11,few clouds
179,Tiksi,RU,71.6872,128.8694,-10.25,90,100,5.21,overcast clouds
180,Mawlaik,MM,23.6333,94.4167,63.64,80,0,1.21,clear sky
181,Bitung,ID,1.4451,125.1824,76.05,84,98,5.06,overcast clouds
182,Mahebourg,MU,-20.4081,57.7,71.89,68,40,2.3,scattered clouds
183,Anadyr,RU,64.75,177.4833,-5.01,76,20,8.95,few clouds
184,Kholodnyy,RU,62.7167,147.95,-33.47,100,69,1.14,broken clouds
185,Leh,IN,34.1667,77.5833,18.97,53,58,1.63,broken clouds
186,Tilichiki,RU,60.4667,166.1,5.22,87,71,4.21,broken clouds
187,Monroe,US,43.1501,-77.6831,35.91,81,40,17.27,light rain
188,Kouqian,CN,43.6391,126.4578,32.52,79,100,4.43,overcast clouds
189,Bathurst,AU,-33.4166,149.5806,52.72,91,94,2.82,overcast clouds
190,Umm Lajj,SA,25.0213,37.2685,77.11,53,100,8.19,overcast clouds
191,Mujiayingzi,CN,42.1167,118.7833,34.16,75,99,6.76,overcast clouds
192,Puerto Narino,CO,-3.7703,-70.3831,85.08,69,97,0.72,overcast clouds
193,Mindelo,CV,16.8901,-24.9804,81.95,54,0,29.93,clear sky
194,Hami,CN,42.8,93.45,35.47,49,99,5.06,overcast clouds
195,Srednekolymsk,RU,67.45,153.6833,-13.72,97,95,9.69,overcast clouds
196,Miranpur,IN,29.3,77.9333,63.09,50,7,3.49,clear sky
197,Motrico,PH,15.4136,120.6765,80.1,87,98,0.36,overcast clouds
198,Tariba,VE,7.8188,-72.2243,73.96,67,98,3.6,light rain
199,Price,US,39.5994,-110.8107,34.86,37,0,16.11,clear sky
200,Kayiry,UA,46.9454,33.7059,41.68,78,57,10.87,broken clouds
201,Severodvinsk,RU,64.5635,39.8302,28.51,86,93,6.87,overcast clouds
202,Chokwe,MZ,-24.5333,32.9833,92.68,31,21,3.94,few clouds
203,Ponyri,RU,52.3186,36.3039,21.67,91,42,3.29,scattered clouds
204,Alta Floresta,BR,-9.8756,-56.0861,87.62,66,40,3.44,light rain
205,Alingsas,SE,57.9303,12.5335,36.52,81,54,8.9,broken clouds
206,Chuguyevka,RU,44.1653,133.8633,27.14,97,93,2.01,overcast clouds
207,Akyab,MM,20.15,92.9,77.41,61,41,7.29,scattered clouds
208,Ardalstangen,NO,61.2371,7.6983,36.09,74,3,7.45,clear sky
209,Pevek,RU,69.7008,170.3133,-19.23,100,93,3.98,overcast clouds
210,Pizarro,CO,4.9533,-77.366,76.71,90,100,0.81,overcast clouds
211,Bubaque,GW,11.2833,-15.8333,83.62,63,94,7.72,overcast clouds
212,Berlevag,NO,70.8578,29.0864,35.6,74,38,24.16,scattered clouds
213,Esna,EG,25.2934,32.554,68.02,28,45,7.7,scattered clouds
214,Baoqing,CN,46.3317,132.2111,23.0,91,13,3.53,few clouds
215,Varnavino,RU,57.4035,45.0916,24.82,76,100,14.94,overcast clouds
216,Mbeya,TZ,-8.9,33.45,64.94,67,80,4.03,broken clouds
217,Matara,LK,5.9485,80.5353,74.03,82,71,5.06,broken clouds
218,Maarianhamina,AX,60.0973,19.9348,31.86,74,75,12.66,broken clouds
219,Brigantine,US,39.4101,-74.3646,45.09,44,0,11.5,clear sky
220,Celendin,PE,-6.8703,-78.1517,73.92,52,59,6.87,broken clouds
221,Ugoofaaru,MV,5.6667,73.0,82.31,74,100,7.81,overcast clouds
222,Morondava,MG,-20.2833,44.2833,80.28,71,0,12.41,clear sky
223,Vaasa,FI,63.096,21.6158,27.95,93,100,8.05,overcast clouds
224,Zelenyy Bor,RU,53.6667,91.6667,17.98,77,92,2.71,overcast clouds
225,Chapleau,CA,47.8405,-83.4034,17.69,73,75,4.61,broken clouds
226,Brae,GB,60.3964,-1.353,46.4,74,98,30.13,overcast clouds
227,Uvat,RU,59.1433,68.8953,3.47,93,18,10.09,few clouds
228,Ketchikan,US,55.3422,-131.6461,28.87,93,0,4.61,clear sky
229,Callaguip,PH,18.0714,120.4867,79.27,74,76,4.97,broken clouds
